rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,GPT-3.5,DeepSeek-R1,gpt35,deepseek_r1,454,87.6652,65.6388,10.5727,11.4537,76.2115,77.0925,298,48,52
2,Llama-70B,DeepSeek-R1,llama70b,deepseek_r1,454,87.0044,65.4185,9.9119,11.6740,75.3304,77.0925,297,45,53
3,O4-mini,Llama-70B,o4mini,llama70b,454,85.9031,65.4185,10.5727,9.9119,75.9912,75.3304,297,48,45
4,GPT-3.5,O4-mini,gpt35,o4mini,454,85.6828,66.5198,9.6916,9.4714,76.2115,75.9912,302,44,43
5,Llama-70B,GLM-5,llama70b,glm5,454,85.6828,67.8414,7.4890,10.3524,75.3304,78.1938,308,34,47
6,DeepSeek-R1,QwenCoder,deepseek_r1,qwencoder32b,454,85.6828,70.0441,7.0485,8.5903,77.0925,78.6344,318,32,39
7,GPT-3.5,Qwen3.7,gpt35,qwen37_plus,454,85.4626,67.4009,8.8106,9.2511,76.2115,76.6520,306,40,42
8,GPT-3.5,GLM-5,gpt35,glm5,454,85.4626,68.9427,7.2687,9.2511,76.2115,78.1938,313,33,42
9,GPT-4o,Llama-70B,gpt4o,llama70b,454,85.2423,69.1630,9.9119,6.1674,79.0749,75.3304,314,45,28
10,GPT-3.5,Claude-5,gpt35,claude_sonnet_5,454,85.2423,68.0617,8.1498,9.0308,76.2115,77.0925,309,37,41
11,GPT-3.5,Kimi-K2.7,gpt35,kimi_k25,454,85.2423,68.5022,7.7093,9.0308,76.2115,77.5330,311,35,41
12,Llama-70B,Kimi-K2.7,llama70b,kimi_k25,454,85.2423,67.6211,7.7093,9.9119,75.3304,77.5330,307,35,45
13,GPT-4o,DeepSeek-R1,gpt4o,deepseek_r1,454,85.0220,71.1454,7.9295,5.9471,79.0749,77.0925,323,36,27
