model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.84252,0.875989,0.507979,0.804124,0.837333,0.855263,0.823219,0.864362,0.872063,0.832021,0.849741,0.841969,0.844156,0.847769
GPT-3.5,0.84252,1,0.821244,0.502688,0.802083,0.806366,0.824607,0.778646,0.828496,0.832041,0.787565,0.796438,0.802564,0.8,0.79845
O4-mini,0.875989,0.821244,1,0.514667,0.797436,0.864865,0.867725,0.860215,0.857143,0.850515,0.844327,0.87664,0.878628,0.885942,0.870027
Gemini,0.507979,0.502688,0.514667,1,0.477454,0.491803,0.494681,0.509642,0.504043,0.479381,0.487936,0.498688,0.498681,0.512,0.5
Llama-70B,0.804124,0.802083,0.797436,0.477454,1,0.815508,0.809896,0.75969,0.780928,0.831606,0.782383,0.791349,0.770202,0.790281,0.802597
Mistral,0.837333,0.806366,0.864865,0.491803,0.815508,1,0.858696,0.820652,0.837838,0.84127,0.82973,0.838196,0.830239,0.847185,0.836022
DeepSeek-V3.1,0.855263,0.824607,0.867725,0.494681,0.809896,0.858696,1,0.824468,0.851064,0.859008,0.843085,0.841558,0.857895,0.850394,0.849206
DeepSeek-R1,0.823219,0.778646,0.860215,0.509642,0.75969,0.820652,0.824468,1,0.858311,0.803618,0.835135,0.843501,0.840426,0.852547,0.826667
DeepSeek-V4-Pro,0.864362,0.828496,0.857143,0.504043,0.780928,0.837838,0.851064,0.858311,1,0.834197,0.862162,0.865079,0.837696,0.864362,0.833773
QwenCoder,0.872063,0.832041,0.850515,0.479381,0.831606,0.84127,0.859008,0.803618,0.834197,1,0.812339,0.839286,0.826972,0.824427,0.837209
Qwen3.7,0.832021,0.787565,0.844327,0.487936,0.782383,0.82973,0.843085,0.835135,0.862162,0.812339,1,0.862069,0.859043,0.861333,0.830688
Claude-5,0.849741,0.796438,0.87664,0.498688,0.791349,0.838196,0.841558,0.843501,0.865079,0.839286,0.862069,1,0.871728,0.883905,0.858268
GLM-5,0.841969,0.802564,0.878628,0.498681,0.770202,0.830239,0.857895,0.840426,0.837696,0.826972,0.859043,0.871728,1,0.856397,0.850394
Kimi-K2.7,0.844156,0.8,0.885942,0.512,0.790281,0.847185,0.850394,0.852547,0.864362,0.824427,0.861333,0.883905,0.856397,1,0.862434
GPT-5,0.847769,0.79845,0.870027,0.5,0.802597,0.836022,0.849206,0.826667,0.833773,0.837209,0.830688,0.858268,0.850394,0.862434,1
