Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00003,Description_Detailed,0.9,0.0,0.45,False,0.6227964162826538,0.1727964162826538,False,False,True,False,False
p00003,Description_Fewshot,0.3,0.3,0.3,False,0.4283568263053894,0.12835682630538942,True,False,False,False,True
p00003,Description_Reason,0.3,0.3,0.3,False,0.19271565973758698,0.10728434026241301,True,False,False,False,True
p00003,Description_Simple,0.1,0.1,0.1,False,0.4844684302806854,0.38446843028068545,True,False,False,False,True
p00003,Description_Vague,0.3,0.3,0.3,False,0.5373096466064453,0.23730964660644532,False,False,True,False,False
p02413,Description_Detailed,0.3,0.3,0.3,False,0.5726308822631836,0.2726308822631836,False,False,True,False,False
p02413,Description_Fewshot,0.0,0.9,0.45,False,0.6820685267448425,0.23206852674484252,False,False,True,False,False
p02413,Description_Reason,0.0,0.0,0.0,False,0.4892662465572357,0.4892662465572357,True,False,False,False,True
p02413,Description_Simple,0.0,0.0,0.0,False,0.5692600607872009,0.5692600607872009,False,False,True,False,False
p02413,Description_Vague,0.0,0.0,0.0,False,0.5918365716934204,0.5918365716934204,False,False,True,False,False
p03720,Description_Detailed,0.0,0.0,0.0,False,0.09192401170730591,0.09192401170730591,True,False,False,False,True
p03720,Description_Fewshot,0.0,0.0,0.0,False,0.025354541838169098,0.025354541838169098,True,False,False,False,True
p03720,Description_Reason,0.0,0.0,0.0,False,0.06456507742404938,0.06456507742404938,True,False,False,False,True
p03720,Description_Simple,0.0,0.0,0.0,False,0.038195956498384476,0.038195956498384476,True,False,False,False,True
p03720,Description_Vague,0.0,0.0,0.0,False,0.13390003144741058,0.13390003144741058,True,False,False,False,True
p03043,Description_Detailed,0.0,0.0,0.0,False,0.16715621948242188,0.16715621948242188,True,False,False,False,True
p03043,Description_Fewshot,0.0,0.0,0.0,False,0.150847926735878,0.150847926735878,True,False,False,False,True
p03043,Description_Reason,0.0,0.0,0.0,False,0.2201910763978958,0.2201910763978958,True,False,False,False,True
p03043,Description_Simple,0.0,0.0,0.0,False,0.15124018490314484,0.15124018490314484,True,False,False,False,True
p03043,Description_Vague,0.0,0.0,0.0,False,0.14634385704994202,0.14634385704994202,True,False,False,False,True
p02881,Description_Detailed,0.0,0.0,0.0,False,0.31206461787223816,0.31206461787223816,True,False,False,False,True
p02881,Description_Fewshot,0.0,0.0,0.0,False,0.3055707812309265,0.3055707812309265,True,False,False,False,True
