Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02982,Description_Fewshot,0.0,0.4,0.2,False,0.7204758524894714,0.5204758524894715,False,False,True,False,False
p02982,Description_Reason,0.4,0.0,0.2,False,0.7566408514976501,0.5566408514976502,False,False,True,False,False
p02982,Description_Simple,0.1,0.9,0.5,True,0.7820090651512146,0.2820090651512146,True,True,True,True,False
p02612,Description_Fewshot,0.9,1.0,0.95,True,0.2891845703125,0.6608154296875,False,True,False,False,False
p02612,Description_Reason,0.7,0.0,0.35,False,0.22604991495609283,0.12395008504390714,True,False,False,False,True
p02612,Description_Simple,1.0,0.7,0.85,True,0.26534998416900635,0.5846500158309936,False,True,False,False,False
p03086,Description_Fewshot,0.9,0.9,0.9,True,0.5657838582992554,0.33421614170074465,True,True,True,True,False
p03086,Description_Reason,0.0,0.1,0.05,False,0.6429787278175354,0.5929787278175354,False,False,True,False,False
p03086,Description_Simple,0.3,0.9,0.6,True,0.604581356048584,0.004581356048584007,True,True,True,True,False
p03126,Description_Fewshot,0.9,0.9,0.9,True,0.3769325017929077,0.5230674982070923,False,True,False,False,False
p03126,Description_Reason,0.4,0.4,0.4,False,0.3913080394268036,0.008691960573196433,True,False,False,False,True
p03126,Description_Simple,0.9,0.4,0.65,True,0.4043830335140228,0.2456169664859772,False,True,False,False,False
p02681,Description_Fewshot,0.4,0.9,0.65,True,0.4865741729736328,0.1634258270263672,False,True,False,False,False
p02681,Description_Reason,0.8,0.3,0.55,True,0.4144218862056732,0.13557811379432683,False,True,False,False,False
p02681,Description_Simple,0.4,0.4,0.4,False,0.4335532784461975,0.03355327844619749,True,False,False,False,True
p03243,Description_Fewshot,0.0,0.0,0.0,False,0.3490045368671417,0.3490045368671417,True,False,False,False,True
p03243,Description_Reason,0.4,0.0,0.2,False,0.39488694071769714,0.19488694071769713,True,False,False,False,True
p03243,Description_Simple,0.0,0.4,0.2,False,0.35046178102493286,0.15046178102493285,True,False,False,False,True
p02700,Description_Fewshot,0.0,0.0,0.0,False,0.13347290456295013,0.13347290456295013,True,False,False,False,True
p02700,Description_Reason,0.3,0.0,0.15,False,0.6585657596588135,0.5085657596588135,False,False,True,False,False
p02700,Description_Simple,0.0,0.3,0.15,False,0.7035335898399353,0.5535335898399353,False,False,True,False,False
p02910,Description_Fewshot,0.7,0.7,0.7,True,0.5511623620986938,0.1488376379013061,True,True,True,True,False
p02910,Description_Reason,0.4,0.4,0.4,False,0.3646503686904907,0.0353496313095093,True,False,False,False,True
p02910,Description_Simple,0.0,0.0,0.0,False,0.5138035416603088,0.5138035416603088,False,False,True,False,False
p03261,Description_Fewshot,0.0,0.3,0.15,False,0.4845126271247864,0.33451262712478635,True,False,False,False,True
p03261,Description_Reason,0.3,0.0,0.15,False,0.35122019052505493,0.20122019052505494,True,False,False,False,True
p03261,Description_Simple,0.3,0.0,0.15,False,0.4380664825439453,0.2880664825439453,True,False,False,False,True
p04044,Description_Fewshot,0.1,0.1,0.1,False,0.35507163405418396,0.255071634054184,True,False,False,False,True
p04044,Description_Reason,0.0,0.3,0.15,False,0.3629780113697052,0.2129780113697052,True,False,False,False,True
p04044,Description_Simple,0.0,0.0,0.0,False,0.29790034890174866,0.29790034890174866,True,False,False,False,True
p03160,Description_Fewshot,0.1,0.1,0.1,False,0.5974931716918945,0.49749317169189455,False,False,True,False,False
p03160,Description_Reason,0.1,0.9,0.5,True,0.5910460948944092,0.09104609489440918,True,True,True,True,False
p03160,Description_Simple,0.9,0.1,0.5,True,0.5582159161567688,0.0582159161567688,True,True,True,True,False
