Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02987,Description_Detailed,0.0,0.0,0.0,False,0.11372297257184982,0.11372297257184982,True,False,False,False,True
p02987,Description_Fewshot,0.0,0.0,0.0,False,0.16417890787124634,0.16417890787124634,True,False,False,False,True
p02987,Description_Reason,0.0,0.0,0.0,False,0.29767441749572754,0.29767441749572754,True,False,False,False,True
p02987,Description_Simple,0.0,0.0,0.0,False,0.15593548119068146,0.15593548119068146,True,False,False,False,True
p02987,Description_Vague,0.0,0.0,0.0,False,0.2690483033657074,0.2690483033657074,True,False,False,False,True
p03000,Description_Detailed,0.0,0.0,0.0,False,0.04416260868310928,0.04416260868310928,True,False,False,False,True
p03000,Description_Fewshot,0.0,0.0,0.0,False,0.10431955754756927,0.10431955754756927,True,False,False,False,True
p03000,Description_Reason,0.0,0.0,0.0,False,0.3016319274902344,0.3016319274902344,True,False,False,False,True
p03000,Description_Simple,0.0,0.0,0.0,False,0.13213928043842316,0.13213928043842316,True,False,False,False,True
p03000,Description_Vague,0.0,0.0,0.0,False,0.10431955754756927,0.10431955754756927,True,False,False,False,True
p03041,Description_Detailed,0.0,0.0,0.0,False,0.08901502192020416,0.08901502192020416,True,False,False,False,True
p03041,Description_Fewshot,0.0,0.0,0.0,False,0.19097143411636353,0.19097143411636353,True,False,False,False,True
p03041,Description_Reason,0.0,0.0,0.0,False,0.41908448934555054,0.41908448934555054,True,False,False,False,True
p03041,Description_Simple,0.0,0.0,0.0,False,0.20688395202159882,0.20688395202159882,True,False,False,False,True
p03041,Description_Vague,0.0,0.0,0.0,False,0.22747085988521576,0.22747085988521576,True,False,False,False,True
p03835,Description_Detailed,0.0,0.0,0.0,False,0.3066106140613556,0.3066106140613556,True,False,False,False,True
p03835,Description_Fewshot,0.0,0.0,0.0,False,0.23271086812019348,0.23271086812019348,True,False,False,False,True
p03835,Description_Reason,0.0,0.0,0.0,False,0.2786014974117279,0.2786014974117279,True,False,False,False,True
p03835,Description_Simple,0.0,0.0,0.0,False,0.3552852272987366,0.3552852272987366,True,False,False,False,True
p03835,Description_Vague,0.0,0.1,0.05,False,0.15333330631256104,0.10333330631256103,True,False,False,False,True
p02417,Description_Detailed,0.1,0.0,0.05,False,0.2570635676383972,0.20706356763839723,True,False,False,False,True
p02417,Description_Fewshot,0.0,0.0,0.0,False,0.17630210518836975,0.17630210518836975,True,False,False,False,True
p02417,Description_Reason,0.0,0.0,0.0,False,0.5645743608474731,0.5645743608474731,False,False,True,False,False
p02417,Description_Simple,0.9,0.4,0.65,True,0.6497987508773804,0.0002012491226196511,True,True,True,True,False
p02417,Description_Vague,0.0,0.7,0.35,False,0.692901611328125,0.342901611328125,False,False,True,False,False
p02410,Description_Detailed,0.0,0.0,0.0,False,0.358814001083374,0.358814001083374,True,False,False,False,True
p02410,Description_Fewshot,0.0,0.9,0.45,False,0.5481001138687134,0.09810011386871337,False,False,True,False,False
p02410,Description_Reason,0.4,0.0,0.2,False,0.6246126890182495,0.4246126890182495,False,False,True,False,False
p02410,Description_Simple,0.7,0.4,0.55,True,0.6603166460990906,0.11031664609909053,True,True,True,True,False
p02410,Description_Vague,0.4,0.0,0.2,False,0.060255106538534164,0.13974489346146585,True,False,False,False,True
p02767,Description_Detailed,0.0,0.0,0.0,False,0.029154164716601372,0.029154164716601372,True,False,False,False,True
p02767,Description_Fewshot,0.0,0.0,0.0,False,0.09240154176950455,0.09240154176950455,True,False,False,False,True
p02767,Description_Reason,0.0,0.0,0.0,False,0.11624562740325928,0.11624562740325928,True,False,False,False,True
p02767,Description_Simple,0.0,0.0,0.0,False,0.0407208614051342,0.0407208614051342,True,False,False,False,True
p02767,Description_Vague,0.0,0.0,0.0,False,0.11624562740325928,0.11624562740325928,True,False,False,False,True
p02785,Description_Detailed,0.0,0.0,0.0,False,0.31821390986442566,0.31821390986442566,True,False,False,False,True
p02785,Description_Fewshot,0.0,0.0,0.0,False,0.09467434138059616,0.09467434138059616,True,False,False,False,True
p02785,Description_Reason,0.0,0.0,0.0,False,0.31128549575805664,0.31128549575805664,True,False,False,False,True
p02785,Description_Simple,0.0,0.0,0.0,False,0.33159250020980835,0.33159250020980835,True,False,False,False,True
p02785,Description_Vague,0.0,0.0,0.0,False,0.08547968417406082,0.08547968417406082,True,False,False,False,True
p03109,Description_Detailed,0.0,0.0,0.0,False,0.39124590158462524,0.39124590158462524,True,False,False,False,True
p03109,Description_Fewshot,0.0,0.0,0.0,False,0.33497288823127747,0.33497288823127747,True,False,False,False,True
p03109,Description_Reason,0.0,0.1,0.05,False,0.22118547558784485,0.17118547558784486,True,False,False,False,True
p03109,Description_Simple,0.0,0.0,0.0,False,0.3320666253566742,0.3320666253566742,True,False,False,False,True
p03109,Description_Vague,0.1,0.0,0.05,False,0.24364811182022095,0.19364811182022096,True,False,False,False,True
p03282,Description_Detailed,0.0,0.0,0.0,False,0.2725377082824707,0.2725377082824707,True,False,False,False,True
p03282,Description_Fewshot,0.0,0.0,0.0,False,0.11089088022708893,0.11089088022708893,True,False,False,False,True
p03282,Description_Reason,0.0,0.7,0.35,False,0.27755773067474365,0.07244226932525633,True,False,False,False,True
p03282,Description_Simple,0.7,0.0,0.35,False,0.32968682050704956,0.020313179492950417,True,False,False,False,True
p03282,Description_Vague,0.7,0.0,0.35,False,0.19518163800239563,0.15481836199760435,True,False,False,False,True
p03308,Description_Detailed,0.0,0.0,0.0,False,0.45325684547424316,0.45325684547424316,True,False,False,False,True
p03308,Description_Fewshot,0.0,0.0,0.0,False,0.11643301695585251,0.11643301695585251,True,False,False,False,True
p03308,Description_Reason,0.0,0.7,0.35,False,0.5172810554504395,0.16728105545043948,False,False,True,False,False
p03308,Description_Simple,0.0,0.0,0.0,False,0.4010460376739502,0.4010460376739502,True,False,False,False,True
p03308,Description_Vague,0.0,0.0,0.0,False,0.060874566435813904,0.060874566435813904,True,False,False,False,True
p03293,Description_Detailed,0.0,0.0,0.0,False,0.37192997336387634,0.37192997336387634,True,False,False,False,True
p03293,Description_Fewshot,0.0,0.0,0.0,False,0.32456859946250916,0.32456859946250916,True,False,False,False,True
p03293,Description_Reason,0.0,0.0,0.0,False,0.36768847703933716,0.36768847703933716,True,False,False,False,True
p03293,Description_Simple,0.0,0.0,0.0,False,0.4258003532886505,0.4258003532886505,True,False,False,False,True
p03293,Description_Vague,0.0,0.0,0.0,False,0.18576838076114655,0.18576838076114655,True,False,False,False,True
p03471,Description_Detailed,0.0,0.0,0.0,False,0.28746044635772705,0.28746044635772705,True,False,False,False,True
