Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02921,Description_Detailed,0.1,0.0,0.05,False,0.09037362039089203,0.040373620390892026,True,False,False,False,True
p02921,Description_Fewshot,0.4,0.1,0.25,False,0.4690222144126892,0.2190222144126892,True,False,False,False,True
p02921,Description_Reason,0.0,0.0,0.0,False,0.13275139033794403,0.13275139033794403,True,False,False,False,True
p02921,Description_Simple,0.0,0.0,0.0,False,0.4671146869659424,0.4671146869659424,True,False,False,False,True
p02921,Description_Vague,0.1,0.4,0.25,False,0.21381637454032898,0.03618362545967102,True,False,False,False,True
p02419,Description_Detailed,0.4,0.0,0.2,False,0.4856424927711487,0.28564249277114867,True,False,False,False,True
p02419,Description_Fewshot,0.0,0.4,0.2,False,0.07452499121427536,0.12547500878572465,True,False,False,False,True
p02419,Description_Reason,0.0,0.0,0.0,False,0.21473810076713562,0.21473810076713562,True,False,False,False,True
p02419,Description_Simple,0.1,0.1,0.1,False,0.689424991607666,0.589424991607666,False,False,True,False,False
p02419,Description_Vague,0.0,0.0,0.0,False,0.37840908765792847,0.37840908765792847,True,False,False,False,True
p03107,Description_Detailed,0.0,0.0,0.0,False,0.2239653468132019,0.2239653468132019,True,False,False,False,True
p03107,Description_Fewshot,0.0,0.0,0.0,False,0.14643463492393494,0.14643463492393494,True,False,False,False,True
p03107,Description_Reason,0.0,0.0,0.0,False,0.10847055912017822,0.10847055912017822,True,False,False,False,True
p03107,Description_Simple,0.0,0.0,0.0,False,0.08096648752689362,0.08096648752689362,True,False,False,False,True
p03107,Description_Vague,0.0,0.0,0.0,False,0.3001064956188202,0.3001064956188202,True,False,False,False,True
p02256,Description_Detailed,0.0,1.0,0.5,True,0.45810607075691223,0.04189392924308777,False,True,False,False,False
p02256,Description_Fewshot,0.0,0.0,0.0,False,0.031085357069969177,0.031085357069969177,True,False,False,False,True
p02256,Description_Reason,0.0,0.4,0.2,False,0.3038177490234375,0.10381774902343749,True,False,False,False,True
p02256,Description_Simple,0.1,0.0,0.05,False,0.5274178981781006,0.4774178981781006,False,False,True,False,False
p02256,Description_Vague,1.0,0.0,0.5,True,0.035925883799791336,0.46407411620020866,False,True,False,False,False
p02801,Description_Detailed,0.4,0.0,0.2,False,0.3788573145866394,0.1788573145866394,True,False,False,False,True
p02801,Description_Fewshot,0.4,0.0,0.2,False,0.12284168601036072,0.0771583139896393,True,False,False,False,True
p02801,Description_Reason,0.0,0.4,0.2,False,0.06646960228681564,0.13353039771318437,True,False,False,False,True
p02801,Description_Simple,0.1,0.1,0.1,False,0.4315289855003357,0.3315289855003357,True,False,False,False,True
p02801,Description_Vague,0.0,0.0,0.0,False,0.4305112361907959,0.4305112361907959,True,False,False,False,True
p02766,Description_Detailed,0.1,0.0,0.05,False,0.07518158107995987,0.025181581079959867,True,False,False,False,True
p02766,Description_Fewshot,1.0,1.0,1.0,True,0.4460146129131317,0.5539853870868683,False,True,False,False,False
p02766,Description_Reason,0.1,0.1,0.1,False,0.20065270364284515,0.10065270364284515,True,False,False,False,True
p02766,Description_Simple,0.0,0.0,0.0,False,0.3134606182575226,0.3134606182575226,True,False,False,False,True
p02766,Description_Vague,0.0,0.1,0.05,False,0.5047339200973511,0.4547339200973511,False,False,True,False,False
p04043,Description_Detailed,0.0,0.0,0.0,False,0.24285157024860382,0.24285157024860382,True,False,False,False,True
p04043,Description_Fewshot,0.0,0.0,0.0,False,0.284426212310791,0.284426212310791,True,False,False,False,True
p04043,Description_Reason,0.0,0.0,0.0,False,0.3707324266433716,0.3707324266433716,True,False,False,False,True
p04043,Description_Simple,0.0,0.0,0.0,False,0.4367624819278717,0.4367624819278717,True,False,False,False,True
p04043,Description_Vague,0.0,0.0,0.0,False,0.3540846109390259,0.3540846109390259,True,False,False,False,True
p02753,Description_Detailed,0.0,0.0,0.0,False,0.322411447763443,0.322411447763443,True,False,False,False,True
p02753,Description_Fewshot,0.0,0.0,0.0,False,0.19930869340896606,0.19930869340896606,True,False,False,False,True
p02753,Description_Reason,0.0,0.0,0.0,False,0.12821967899799347,0.12821967899799347,True,False,False,False,True
p02753,Description_Simple,0.0,0.0,0.0,False,0.4890555441379547,0.4890555441379547,True,False,False,False,True
p02753,Description_Vague,0.0,0.0,0.0,False,0.01783369667828083,0.01783369667828083,True,False,False,False,True
p03000,Description_Detailed,1.0,0.0,0.5,True,0.3383055031299591,0.1616944968700409,False,True,False,False,False
