model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,28.4,26.8,30.4,31.2,46.8,40,37.2,40.8,46.4,39.6,42,40.8,40.4,41.6
GPT-3.5,28.4,0,37.6,38.8,26,39.2,39.6,42.4,38,38,45.6,40,46.8,44.8,42
O4-mini,26.8,37.6,0,21.2,35.6,58.4,37.2,37.6,40.4,55.6,38.4,39.2,37.2,38.4,39.6
Gemini,30.4,38.8,21.2,0,41.6,61.2,37.6,32.4,35.2,57.6,35.6,36.4,33.6,36.4,39.2
Llama-70B,31.2,26,35.6,41.6,0,37.2,38.4,42.8,40,36,43.6,39.6,46.4,42.8,42.4
Mistral,46.8,39.2,58.4,61.2,37.2,0,46,51.2,48.4,27.6,52.8,51.2,55.6,50.4,44.4
DeepSeek-V3.1,40,39.6,37.2,37.6,38.4,46,0,21.2,22.4,42.4,23.6,26,24,21.2,23.2
DeepSeek-R1,37.2,42.4,37.6,32.4,42.8,51.2,21.2,0,15.6,46.8,16,20,15.6,14.4,19.6
DeepSeek-V4-Pro,40.8,38,40.4,35.2,40,48.4,22.4,15.6,0,42.4,22.8,21.2,23.2,17.2,22.4
QwenCoder,46.4,38,55.6,57.6,36,27.6,42.4,46.8,42.4,0,46,43.6,48.8,46.8,41.6
Qwen3.7,39.6,45.6,38.4,35.6,43.6,52.8,23.6,16,22.8,46,0,24.8,18,16,18.8
Claude-5,42,40,39.2,36.4,39.6,51.2,26,20,21.2,43.6,24.8,0,25.2,21.6,26
GLM-5,40.8,46.8,37.2,33.6,46.4,55.6,24,15.6,23.2,48.8,18,25.2,0,16.4,20.8
Kimi-K2.7,40.4,44.8,38.4,36.4,42.8,50.4,21.2,14.4,17.2,46.8,16,21.6,16.4,0,18
GPT-5,41.6,42,39.6,39.2,42.4,44.4,23.2,19.6,22.4,41.6,18.8,26,20.8,18,0
