rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,O4-mini,Kimi-K2.7,o4mini,kimi_k25,250,91.2000,59.2000,23.2000,8.8000,82.4000,68.0000,148,58,22
2,O4-mini,GLM-5,o4mini,glm5,250,90.8000,62.0000,20.4000,8.4000,82.4000,70.4000,155,51,21
3,O4-mini,DeepSeek-R1,o4mini,deepseek_r1,250,90.0000,55.2000,27.2000,7.6000,82.4000,62.8000,138,68,19
4,O4-mini,Qwen3.7,o4mini,qwen37_plus,250,90.0000,58.0000,24.4000,7.6000,82.4000,65.6000,145,61,19
5,O4-mini,DeepSeek-V4-Pro,o4mini,deepseek_v4_pro,250,89.2000,53.6000,28.8000,6.8000,82.4000,60.4000,134,72,17
6,O4-mini,GPT-5,o4mini,gpt5,250,89.2000,51.6000,30.8000,6.8000,82.4000,58.4000,129,77,17
7,O4-mini,Gemini,o4mini,gemini,250,88.8000,64.8000,17.6000,6.4000,82.4000,71.2000,162,44,16
8,O4-mini,DeepSeek-V3.1,o4mini,deepseek_v31,250,88.4000,56.0000,26.4000,6.0000,82.4000,62.0000,140,66,15
9,O4-mini,Claude-5,o4mini,claude_sonnet_5,250,88.4000,52.8000,29.6000,6.0000,82.4000,58.8000,132,74,15
10,Gemini,Qwen3.7,gemini,qwen37_plus,250,88.0000,48.8000,22.4000,16.8000,71.2000,65.6000,122,56,42
11,Gemini,Kimi-K2.7,gemini,kimi_k25,250,87.6000,51.6000,19.6000,16.4000,71.2000,68.0000,129,49,41
12,Gemini,GLM-5,gemini,glm5,250,87.2000,54.4000,16.8000,16.0000,71.2000,70.4000,136,42,40
13,GPT-3.5,O4-mini,gpt35,o4mini,250,86.0000,48.8000,3.6000,33.6000,52.4000,82.4000,122,9,84
