rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,O4-mini,Gemini,o4mini,gemini,250,92.0000,76.0000,6.0000,10.0000,82.0000,86.0000,190,15,25
2,Gemini,Mistral,gemini,mistral,250,92.0000,53.2000,32.8000,6.0000,86.0000,59.2000,133,82,15
3,Gemini,DeepSeek-V3.1,gemini,deepseek_v31,250,92.0000,65.6000,20.4000,6.0000,86.0000,71.6000,164,51,15
4,Gemini,Kimi-K2.7,gemini,kimi_k25,250,91.6000,60.4000,25.6000,5.6000,86.0000,66.0000,151,64,14
5,Gemini,DeepSeek-R1,gemini,deepseek_r1,250,91.2000,56.8000,29.2000,5.2000,86.0000,62.0000,142,73,13
6,Gemini,Qwen3.7,gemini,qwen37_plus,250,91.2000,59.6000,26.4000,5.2000,86.0000,64.8000,149,66,13
7,Gemini,Claude-5,gemini,claude_sonnet_5,250,91.2000,60.8000,25.2000,5.2000,86.0000,66.0000,152,63,13
8,Gemini,GPT-5,gemini,gpt5,250,91.2000,59.2000,26.8000,5.2000,86.0000,64.4000,148,67,13
9,O4-mini,DeepSeek-V3.1,o4mini,deepseek_v31,250,90.8000,62.8000,19.2000,8.8000,82.0000,71.6000,157,48,22
10,Gemini,DeepSeek-V4-Pro,gemini,deepseek_v4_pro,250,90.4000,59.2000,26.8000,4.4000,86.0000,63.6000,148,67,11
11,Gemini,GLM-5,gemini,glm5,250,90.4000,61.6000,24.4000,4.4000,86.0000,66.0000,154,61,11
12,O4-mini,Qwen3.7,o4mini,qwen37_plus,250,90.0000,56.8000,25.2000,8.0000,82.0000,64.8000,142,63,20
13,O4-mini,GPT-5,o4mini,gpt5,250,90.0000,56.4000,25.6000,8.0000,82.0000,64.4000,141,64,20
