model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,30.4,27.6,28.4,42,45.6,36,41.6,36.8,44.4,38,36.8,36.4,38.8,38.8
GPT-3.5,30.4,0,37.2,37.2,42,42.4,40,41.6,39.2,43.6,42.8,43.2,42,44.4,46
O4-mini,27.6,37.2,0,24,50.4,62.8,32.4,34.8,35.6,63.2,32,35.6,28.8,32,37.6
Gemini,28.4,37.2,24,0,50.4,58,38,37.2,38.8,60,39.2,38.8,32.8,36,39.2
Llama-70B,42,42,50.4,50.4,0,35.6,41.2,46.8,42,32,44.8,38.8,44.8,45.6,44
Mistral,45.6,42.4,62.8,58,35.6,0,47.2,48.8,46.4,30,49.2,48,56.4,53.2,45.2
DeepSeek-V3.1,36,40,32.4,38,41.2,47.2,0,18.4,16,42.8,18,23.2,21.2,22,23.6
DeepSeek-R1,41.6,41.6,34.8,37.2,46.8,48.8,18.4,0,18.4,45.2,15.6,24,20.4,20.4,19.6
DeepSeek-V4-Pro,36.8,39.2,35.6,38.8,42,46.4,16,18.4,0,42,21.2,22.4,20.4,16.4,20.4
QwenCoder,44.4,43.6,63.2,60,32,30,42.8,45.2,42,0,46.4,42,50.4,48,45.6
Qwen3.7,38,42.8,32,39.2,44.8,49.2,18,15.6,21.2,46.4,0,20.4,15.2,16.8,20.8
Claude-5,36.8,43.2,35.6,38.8,38.8,48,23.2,24,22.4,42,20.4,0,20.4,18.8,22.8
GLM-5,36.4,42,28.8,32.8,44.8,56.4,21.2,20.4,20.4,50.4,15.2,20.4,0,17.6,24.8
Kimi-K2.7,38.8,44.4,32,36,45.6,53.2,22,20.4,16.4,48,16.8,18.8,17.6,0,20
GPT-5,38.8,46,37.6,39.2,44,45.2,23.6,19.6,20.4,45.6,20.8,22.8,24.8,20,0
