model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.680412,0.724771,0.734234,0.655556,0.407407,0.642157,0.612745,0.62069,0.446809,0.626214,0.666667,0.616114,0.59434,0.558252
GPT-3.5,0.680412,1,0.683721,0.663677,0.632184,0.407821,0.581281,0.559406,0.582915,0.441341,0.543269,0.590244,0.549763,0.528302,0.535
O4-mini,0.724771,0.683721,1,0.846491,0.590476,0.398148,0.663677,0.629464,0.629464,0.459716,0.648889,0.671111,0.660793,0.647577,0.586667
Gemini,0.734234,0.663677,0.846491,1,0.56621,0.382222,0.659389,0.654867,0.669643,0.421525,0.674009,0.681223,0.68559,0.658009,0.605263
Llama-70B,0.655556,0.632184,0.590476,0.56621,1,0.374233,0.566845,0.526596,0.526596,0.402439,0.534031,0.568421,0.52551,0.510204,0.491979
Mistral,0.407407,0.407821,0.398148,0.382222,0.374233,1,0.403226,0.378378,0.393443,0.394366,0.352332,0.371134,0.369231,0.375,0.357143
DeepSeek-V3.1,0.642157,0.581281,0.663677,0.659389,0.566845,0.403226,1,0.810056,0.770492,0.552326,0.783784,0.801075,0.816216,0.780749,0.755556
DeepSeek-R1,0.612745,0.559406,0.629464,0.654867,0.526596,0.378378,0.810056,1,0.786517,0.553571,0.820225,0.778378,0.813187,0.837079,0.802326
DeepSeek-V4-Pro,0.62069,0.582915,0.629464,0.669643,0.526596,0.393443,0.770492,0.786517,1,0.544379,0.751351,0.788043,0.793478,0.758065,0.751412
QwenCoder,0.446809,0.441341,0.459716,0.421525,0.402439,0.394366,0.552326,0.553571,0.544379,1,0.517045,0.519553,0.491803,0.542857,0.542683
Qwen3.7,0.626214,0.543269,0.648889,0.674009,0.534031,0.352332,0.783784,0.820225,0.751351,0.517045,1,0.772487,0.806452,0.809783,0.736264
Claude-5,0.666667,0.590244,0.671111,0.681223,0.568421,0.371134,0.801075,0.778378,0.788043,0.519553,0.772487,1,0.804233,0.769634,0.754098
GLM-5,0.616114,0.549763,0.660793,0.68559,0.52551,0.369231,0.816216,0.813187,0.793478,0.491803,0.806452,0.804233,1,0.822581,0.769231
Kimi-K2.7,0.59434,0.528302,0.647577,0.658009,0.510204,0.375,0.780749,0.837079,0.758065,0.542857,0.809783,0.769634,0.822581,1,0.772222
GPT-5,0.558252,0.535,0.586667,0.605263,0.491979,0.357143,0.755556,0.802326,0.751412,0.542683,0.736264,0.754098,0.769231,0.772222,1
