model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,71.2,75.6,85.2,88.4,75.2,82.4,86,82.8,84,78.8,84.8,85.2,82.8,84.4,85.2
GPT-3.5,75.6,64,85.6,87.6,72.8,80,83.6,81.6,81.6,73.6,82.8,82.8,80.4,82.8,83.6
O4-mini,85.2,85.6,82,92,83.6,88,90.8,88.8,88.4,86,90,89.2,88.8,88.8,90
Gemini,88.4,87.6,92,86,88.8,92,92,91.2,90.4,88,91.2,91.2,90.4,91.6,91.2
Llama-70B,75.2,72.8,83.6,88.8,55.2,75.2,82,78,78.4,69.6,79.6,80,78.8,79.6,81.2
Mistral,82.4,80,88,92,75.2,59.2,83.2,77.6,78.8,68,78,80.4,78,81.6,79.2
DeepSeek-V3.1,86,83.6,90.8,92,82,83.2,71.6,77.2,78,75.6,78,80.4,77.6,78,77.6
DeepSeek-R1,82.8,81.6,88.8,91.2,78,77.6,77.2,62,69.2,65.6,71.2,72,72,71.2,70.8
DeepSeek-V4-Pro,84,81.6,88.4,90.4,78.4,78.8,78,69.2,63.6,66.8,71.2,74,71.2,71.6,70
QwenCoder,78.8,73.6,86,88,69.6,68,75.6,65.6,66.8,44.4,68.4,70,69.6,71.2,69.2
Qwen3.7,84.8,82.8,90,91.2,79.6,78,78,71.2,71.2,68.4,64.8,75.2,73.2,72,72.4
Claude-5,85.2,82.8,89.2,91.2,80,80.4,80.4,72,74,70,75.2,66,74,75.6,75.2
GLM-5,82.8,80.4,88.8,90.4,78.8,78,77.6,72,71.2,69.6,73.2,74,66,73.2,72.8
Kimi-K2.7,84.4,82.8,88.8,91.6,79.6,81.6,78,71.2,71.6,71.2,72,75.6,73.2,66,73.6
GPT-5,85.2,83.6,90,91.2,81.2,79.2,77.6,70.8,70,69.2,72.4,75.2,72.8,73.6,64.4
