rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Gemini,Kimi-K2.7,gemini,kimi_k25,250,92.4000,60.8000,25.2000,6.4000,86.0000,67.2000,152,63,16
2,Gemini,DeepSeek-V3.1,gemini,deepseek_v31,250,91.6000,60.4000,25.6000,5.6000,86.0000,66.0000,151,64,14
3,Gemini,Claude-5,gemini,claude_sonnet_5,250,91.6000,62.4000,23.6000,5.6000,86.0000,68.0000,156,59,14
4,Gemini,GLM-5,gemini,glm5,250,91.6000,62.8000,23.2000,5.6000,86.0000,68.4000,157,58,14
5,O4-mini,Gemini,o4mini,gemini,250,91.2000,77.2000,5.2000,8.8000,82.4000,86.0000,193,13,22
6,Gemini,GPT-5,gemini,gpt5,250,91.2000,55.2000,30.8000,5.2000,86.0000,60.4000,138,77,13
7,O4-mini,GLM-5,o4mini,glm5,250,90.8000,60.0000,22.4000,8.4000,82.4000,68.4000,150,56,21
8,O4-mini,Kimi-K2.7,o4mini,kimi_k25,250,90.8000,58.8000,23.6000,8.4000,82.4000,67.2000,147,59,21
9,Gemini,Qwen3.7,gemini,qwen37_plus,250,90.8000,61.2000,24.8000,4.8000,86.0000,66.0000,153,62,12
10,Gemini,DeepSeek-R1,gemini,deepseek_r1,250,90.4000,59.2000,26.8000,4.4000,86.0000,63.6000,148,67,11
11,O4-mini,Qwen3.7,o4mini,qwen37_plus,250,90.0000,58.4000,24.0000,7.6000,82.4000,66.0000,146,60,19
12,O4-mini,Claude-5,o4mini,claude_sonnet_5,250,90.0000,60.4000,22.0000,7.6000,82.4000,68.0000,151,55,19
13,O4-mini,GPT-5,o4mini,gpt5,250,90.0000,52.8000,29.6000,7.6000,82.4000,60.4000,132,74,19
