model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,24.8,24,23.6,24.8,44.8,29.2,31.6,30.8,41.6,30.8,27.2,32.4,34.4,36.4
GPT-3.5,24.8,0,27.2,30,25.6,42.4,34,35.6,33.2,40,38,33.6,38,40,37.2
O4-mini,24,27.2,0,14,34.4,52,30,33.2,33.2,45.6,31.6,29.6,30.8,32,37.2
Gemini,23.6,30,14,0,38,55.6,31.2,31.2,29.6,51.6,29.6,29.2,28.8,31.6,36
Llama-70B,24.8,25.6,34.4,38,0,40.8,32.4,35.6,35.6,39.2,35.6,32.8,37.2,38.4,38
Mistral,44.8,42.4,52,55.6,40.8,0,44.4,46,44.4,34.4,50,48.8,49.2,48,46.8
DeepSeek-V3.1,29.2,34,30,31.2,32.4,44.4,0,13.6,16.8,30.8,16,14.8,13.6,16.4,17.6
DeepSeek-R1,31.6,35.6,33.2,31.2,35.6,46,13.6,0,15.2,30,12.8,16.4,13.6,11.6,13.6
DeepSeek-V4-Pro,30.8,33.2,33.2,29.6,35.6,44.4,16.8,15.2,0,30.8,18.4,15.6,15.2,18,17.6
QwenCoder,41.6,40,45.6,51.6,39.2,34.4,30.8,30,30.8,0,34,34.4,37.2,32,30
Qwen3.7,30.8,38,31.6,29.6,35.6,50,16,12.8,18.4,34,0,17.2,14.4,14,19.2
Claude-5,27.2,33.6,29.6,29.2,32.8,48.8,14.8,16.4,15.6,34.4,17.2,0,14.8,17.6,18
GLM-5,32.4,38,30.8,28.8,37.2,49.2,13.6,13.6,15.2,37.2,14.4,14.8,0,13.2,16.8
Kimi-K2.7,34.4,40,32,31.6,38.4,48,16.4,11.6,18,32,14,17.6,13.2,0,16.4
GPT-5,36.4,37.2,37.2,36,38,46.8,17.6,13.6,17.6,30,19.2,18,16.8,16.4,0
