model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.375,0.348993,0.318471,0.294872,0.222222,0.3125,0.303448,0.310606,0.162162,0.25974,0.306122,0.257143,0.279221,0.257353
GPT-3.5,0.375,1,0.300654,0.322581,0.32,0.197531,0.31746,0.280822,0.315385,0.150685,0.28,0.283784,0.267442,0.266234,0.290076
O4-mini,0.348993,0.300654,1,0.626374,0.24183,0.245033,0.511765,0.561798,0.523256,0.15894,0.546448,0.569832,0.626316,0.571429,0.468927
Gemini,0.318471,0.322581,0.626374,1,0.240506,0.227848,0.494318,0.56044,0.497207,0.14557,0.529101,0.502618,0.632124,0.528796,0.494382
Llama-70B,0.294872,0.32,0.24183,0.240506,1,0.294118,0.256,0.227586,0.255814,0.171875,0.22,0.231293,0.1875,0.223684,0.25
Mistral,0.222222,0.197531,0.245033,0.227848,0.294118,1,0.230159,0.230769,0.230769,0.258621,0.214765,0.226027,0.203488,0.202614,0.253968
DeepSeek-V3.1,0.3125,0.31746,0.511765,0.494318,0.256,0.230159,1,0.689655,0.671533,0.213675,0.644737,0.620915,0.595376,0.621795,0.587413
DeepSeek-R1,0.303448,0.280822,0.561798,0.56044,0.227586,0.230769,0.689655,1,0.633987,0.189781,0.652439,0.670807,0.6875,0.670732,0.653333
DeepSeek-V4-Pro,0.310606,0.315385,0.523256,0.497207,0.255814,0.230769,0.671533,0.633987,1,0.214876,0.624204,0.697987,0.614943,0.6125,0.611111
QwenCoder,0.162162,0.150685,0.15894,0.14557,0.171875,0.258621,0.213675,0.189781,0.214876,1,0.166667,0.220588,0.168675,0.204225,0.208333
Qwen3.7,0.25974,0.28,0.546448,0.529101,0.22,0.214765,0.644737,0.652439,0.624204,0.166667,1,0.611765,0.706215,0.690909,0.58125
Claude-5,0.306122,0.283784,0.569832,0.502618,0.231293,0.226027,0.620915,0.670807,0.697987,0.220588,0.611765,1,0.657459,0.678788,0.608974
GLM-5,0.257143,0.267442,0.626316,0.632124,0.1875,0.203488,0.595376,0.6875,0.614943,0.168675,0.706215,0.657459,1,0.713483,0.631579
Kimi-K2.7,0.279221,0.266234,0.571429,0.528796,0.223684,0.202614,0.621795,0.670732,0.6125,0.204225,0.690909,0.678788,0.713483,1,0.620253
GPT-5,0.257353,0.290076,0.468927,0.494382,0.25,0.253968,0.587413,0.653333,0.611111,0.208333,0.58125,0.608974,0.631579,0.620253,1
