model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.587209,0.671569,0.643192,0.538462,0.286585,0.489796,0.537313,0.487437,0.292683,0.514706,0.480198,0.507246,0.504902,0.469388
GPT-3.5,0.587209,1,0.539216,0.538095,0.563758,0.304965,0.456044,0.453608,0.478022,0.321429,0.424242,0.462366,0.41791,0.428571,0.42623
O4-mini,0.671569,0.539216,1,0.761261,0.54359,0.266332,0.56338,0.576577,0.538813,0.290816,0.569507,0.552511,0.58296,0.567568,0.537383
Gemini,0.643192,0.538095,0.761261,1,0.497585,0.26087,0.568807,0.631818,0.59447,0.29064,0.602679,0.586364,0.623318,0.59375,0.550459
Llama-70B,0.538462,0.563758,0.54359,0.497585,1,0.295455,0.448276,0.430851,0.438202,0.312977,0.42328,0.446927,0.402062,0.427807,0.40113
Mistral,0.286585,0.304965,0.266332,0.26087,0.295455,1,0.27673,0.264368,0.262195,0.28125,0.25,0.242604,0.232044,0.267442,0.283871
DeepSeek-V3.1,0.489796,0.456044,0.56338,0.568807,0.448276,0.27673,1,0.700565,0.674419,0.316129,0.672222,0.634831,0.67033,0.698864,0.656805
DeepSeek-R1,0.537313,0.453608,0.576577,0.631818,0.430851,0.264368,0.700565,1,0.773256,0.307692,0.776536,0.72067,0.783333,0.795455,0.716763
DeepSeek-V4-Pro,0.487437,0.478022,0.538813,0.59447,0.438202,0.262195,0.674419,0.773256,1,0.324841,0.685083,0.695402,0.68306,0.751445,0.670588
QwenCoder,0.292683,0.321429,0.290816,0.29064,0.312977,0.28125,0.316129,0.307692,0.324841,1,0.315476,0.31875,0.294798,0.303571,0.315789
Qwen3.7,0.514706,0.424242,0.569507,0.602679,0.42328,0.25,0.672222,0.776536,0.685083,0.315476,1,0.664865,0.754098,0.775281,0.726744
Claude-5,0.480198,0.462366,0.552511,0.586364,0.446927,0.242604,0.634831,0.72067,0.695402,0.31875,0.664865,1,0.663102,0.7,0.630682
GLM-5,0.507246,0.41791,0.58296,0.623318,0.402062,0.232044,0.67033,0.783333,0.68306,0.294798,0.754098,0.663102,1,0.772222,0.704545
Kimi-K2.7,0.504902,0.428571,0.567568,0.59375,0.427807,0.267442,0.698864,0.795455,0.751445,0.303571,0.775281,0.7,0.772222,1,0.735294
GPT-5,0.469388,0.42623,0.537383,0.550459,0.40113,0.283871,0.656805,0.716763,0.670588,0.315789,0.726744,0.630682,0.704545,0.735294,1
