Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03220,Description_Fewshot,0.9,0.9,0.9,True,0.46152204275131226,0.43847795724868777,False,True,False,False,False
p03220,Description_Reason,0.9,0.5,0.7,True,0.4396224617958069,0.26037753820419307,False,True,False,False,False
p03220,Description_Simple,0.0,0.9,0.45,False,0.2877427339553833,0.1622572660446167,True,False,False,False,True
p02403,Description_Fewshot,0.9,0.0,0.45,False,0.5825728178024292,0.1325728178024292,False,False,True,False,False
p02403,Description_Reason,0.1,0.9,0.5,True,0.4429731070995331,0.05702689290046692,False,True,False,False,False
p02403,Description_Simple,0.3,0.2,0.25,False,0.41727209091186523,0.16727209091186523,True,False,False,False,True
p02418,Description_Fewshot,0.9,0.8,0.8500000000000001,True,0.6562066078186035,0.19379339218139657,True,True,True,True,False
p02418,Description_Reason,0.2,0.9,0.55,True,0.5581932663917542,0.008193266391754106,True,True,True,True,False
p02418,Description_Simple,0.9,0.6,0.75,True,0.7308799028396606,0.019120097160339355,True,True,True,True,False
p02881,Description_Fewshot,0.9,0.2,0.55,True,0.4167826771736145,0.13321732282638554,False,True,False,False,False
p02881,Description_Reason,0.9,0.9,0.9,True,0.456889808177948,0.443110191822052,False,True,False,False,False
p02881,Description_Simple,0.9,0.6,0.75,True,0.38607165217399597,0.36392834782600403,False,True,False,False,False
p03035,Description_Fewshot,0.9,0.9,0.9,True,0.6625096201896667,0.23749037981033327,True,True,True,True,False
p03035,Description_Reason,0.6,0.9,0.75,True,0.27843770384788513,0.47156229615211487,False,True,False,False,False
p03035,Description_Simple,0.9,0.9,0.9,True,0.721294641494751,0.17870535850524905,True,True,True,True,False
p03001,Description_Fewshot,0.9,0.0,0.45,False,0.6544439196586609,0.20444391965866088,False,False,True,False,False
p03001,Description_Reason,0.9,0.9,0.9,True,0.5580251812934875,0.3419748187065125,True,True,True,True,False
p03001,Description_Simple,0.9,0.6,0.75,True,0.6481168270111084,0.1018831729888916,True,True,True,True,False
p03835,Description_Fewshot,0.9,0.9,0.9,True,0.5112729072570801,0.38872709274291994,True,True,True,True,False
p03835,Description_Reason,0.4,0.9,0.65,True,0.48457807302474976,0.16542192697525027,False,True,False,False,False
p03835,Description_Simple,0.0,0.8,0.4,False,0.5162830352783203,0.11628303527832029,False,False,True,False,False
p02420,Description_Fewshot,0.9,0.9,0.9,True,0.3616347908973694,0.5383652091026306,False,True,False,False,False
p02420,Description_Reason,0.6,0.9,0.75,True,0.32797157764434814,0.42202842235565186,False,True,False,False,False
p02420,Description_Simple,0.2,0.9,0.55,True,0.39912527799606323,0.1508747220039368,False,True,False,False,False
p02255,Description_Fewshot,0.9,0.9,0.9,True,0.7186012864112854,0.18139871358871462,True,True,True,True,False
p02255,Description_Reason,0.9,0.6,0.75,True,0.7180606126785278,0.03193938732147217,True,True,True,True,False
p02255,Description_Simple,0.6,0.3,0.44999999999999996,False,0.7495388984680176,0.2995388984680176,False,False,True,False,False
p02730,Description_Fewshot,0.6,0.2,0.4,False,0.6183478236198425,0.2183478236198425,False,False,True,False,False
p02730,Description_Reason,0.9,0.5,0.7,True,0.5565773844718933,0.14342261552810665,True,True,True,True,False
p02730,Description_Simple,0.5,0.2,0.35,False,0.7187404036521912,0.3687404036521912,False,False,True,False,False
p03075,Description_Fewshot,0.9,0.9,0.9,True,0.6160974502563477,0.28390254974365237,True,True,True,True,False
p03075,Description_Reason,0.9,0.9,0.9,True,0.6110738515853882,0.28892614841461184,True,True,True,True,False
p03075,Description_Simple,0.9,0.9,0.9,True,0.5589650869369507,0.34103491306304934,True,True,True,True,False
p03289,Description_Fewshot,0.7,0.9,0.8,True,0.6951351165771484,0.1048648834228516,True,True,True,True,False
p03289,Description_Reason,0.9,0.9,0.9,True,0.5942731499671936,0.3057268500328064,True,True,True,True,False
p03289,Description_Simple,0.9,0.2,0.55,True,0.6190319061279297,0.06903190612792964,True,True,True,True,False
p02946,Description_Fewshot,0.9,0.9,0.9,True,0.4051181972026825,0.4948818027973175,False,True,False,False,False
p02946,Description_Reason,0.9,0.9,0.9,True,0.3947999179363251,0.505200082063675,False,True,False,False,False
p02946,Description_Simple,0.6,0.9,0.75,True,0.3730117082595825,0.3769882917404175,False,True,False,False,False
p02819,Description_Fewshot,0.1,0.1,0.1,False,0.5509241819381714,0.4509241819381714,False,False,True,False,False
