rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,GPT-3.5,DeepSeek-R1,gpt35,deepseek_r1,704,88.9205,59.0909,8.2386,21.5909,67.3295,80.6818,416,58,152
2,Llama-70B,DeepSeek-R1,llama70b,deepseek_r1,704,88.4943,61.7898,7.8125,18.8920,69.6023,80.6818,435,55,133
3,QwenCoder,GLM-5,qwencoder32b,glm5,704,88.4943,72.3011,5.2557,10.9375,77.5568,83.2386,509,37,77
4,GPT-3.5,Kimi-K2.7,gpt35,kimi_k25,704,88.3523,61.6477,5.6818,21.0227,67.3295,82.6705,434,40,148
5,DeepSeek-R1,QwenCoder,deepseek_r1,qwencoder32b,704,88.3523,69.8864,10.7955,7.6705,80.6818,77.5568,492,76,54
6,GPT-4o,GLM-5,gpt4o,glm5,704,88.2102,73.8636,4.9716,9.3750,78.8352,83.2386,520,35,66
7,GPT-3.5,GLM-5,gpt35,glm5,704,88.2102,62.3580,4.9716,20.8807,67.3295,83.2386,439,35,147
8,Llama-70B,GLM-5,llama70b,glm5,704,88.2102,64.6307,4.9716,18.6080,69.6023,83.2386,455,35,131
9,Llama-70B,Kimi-K2.7,llama70b,kimi_k25,704,88.2102,64.0625,5.5398,18.6080,69.6023,82.6705,451,39,131
10,DeepSeek-V4-Pro,Qwen3.7,deepseek_v4_pro,qwen37_plus,704,87.9261,73.1534,6.8182,7.9545,79.9716,81.1080,515,48,56
11,QwenCoder,Kimi-K2.7,qwencoder32b,kimi_k25,704,87.9261,72.3011,5.2557,10.3693,77.5568,82.6705,509,37,73
12,Qwen3.7,GLM-5,qwen37_plus,glm5,704,87.9261,76.4205,4.6875,6.8182,81.1080,83.2386,538,33,48
13,GPT-4o,DeepSeek-R1,gpt4o,deepseek_r1,704,87.7841,71.7330,7.1023,8.9489,78.8352,80.6818,505,50,63
