model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,19.0341,13.0682,47.7273,20.3125,16.3352,14.7727,16.9034,13.6364,13.0682,15.625,14.3466,15.1989,14.4886,14.3466
GPT-3.5,19.0341,0,24.4318,43.1818,19.1761,23.1534,23.8636,27.983,23.0114,21.0227,26.4205,25.7102,26.5625,26.4205,23.7216
O4-mini,13.0682,24.4318,0,50,24.0057,14.9148,11.9318,12.358,11.3636,14.7727,12.5,10.3693,9.80114,9.09091,13.2102
Gemini,47.7273,43.1818,50,0,44.4602,45.8807,50,50.7102,49.7159,50,51.1364,50.142,52.1307,50.8523,49.0057
Llama-70B,20.3125,19.1761,24.0057,44.4602,0,19.6023,21.4489,27.8409,24.0057,19.1761,24.5739,23.2955,26.4205,24.5739,21.0227
Mistral,16.3352,23.1534,14.9148,45.8807,19.6023,0,14.0625,18.75,15.767,15.767,17.1875,16.1932,17.3295,16.0511,15.9091
DeepSeek-V3.1,14.7727,23.8636,11.9318,50,21.4489,14.0625,0,15.767,12.2159,13.6364,13.0682,12.9261,12.642,12.5,13.7784
DeepSeek-R1,16.9034,27.983,12.358,50.7102,27.8409,18.75,15.767,0,12.642,19.1761,13.7784,13.9205,12.5,12.358,16.1932
DeepSeek-V4-Pro,13.6364,23.0114,11.3636,49.7159,24.0057,15.767,12.2159,12.642,0,15.0568,12.7841,11.7898,13.2102,11.3636,15.483
QwenCoder,13.0682,21.0227,14.7727,50,19.1761,15.767,13.6364,19.1761,15.0568,0,17.0455,15.1989,16.3352,16.1932,15.767
Qwen3.7,15.625,26.4205,12.5,51.1364,24.5739,17.1875,13.0682,13.7784,12.7841,17.0455,0,12.358,10.6534,9.65909,15.767
Claude-5,14.3466,25.7102,10.3693,50.142,23.2955,16.1932,12.9261,13.9205,11.7898,15.1989,12.358,0,11.3636,10.0852,13.9205
GLM-5,15.1989,26.5625,9.80114,52.1307,26.4205,17.3295,12.642,12.5,13.2102,16.3352,10.6534,11.3636,0,10.6534,14.2045
Kimi-K2.7,14.4886,26.4205,9.09091,50.8523,24.5739,16.0511,12.5,12.358,11.3636,16.1932,9.65909,10.0852,10.6534,0,13.2102
GPT-5,14.3466,23.7216,13.2102,49.0057,21.0227,15.9091,13.7784,16.1932,15.483,15.767,15.767,13.9205,14.2045,13.2102,0
