model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.679279,0.791319,0.325368,0.679928,0.698944,0.795918,0.775748,0.795918,0.742958,0.773927,0.781457,0.785246,0.768977,0.727113
GPT-3.5,0.679279,1,0.624172,0.327004,0.754717,0.666031,0.645051,0.593801,0.639456,0.635701,0.611475,0.626446,0.618506,0.601307,0.622263
O4-mini,0.791319,0.624172,1,0.318493,0.63,0.704202,0.832504,0.835796,0.808511,0.746218,0.827642,0.829268,0.86252,0.840722,0.742809
Gemini,0.325368,0.327004,0.318493,1,0.346237,0.321357,0.309565,0.293919,0.314136,0.316092,0.310696,0.312394,0.303483,0.307823,0.32681
Llama-70B,0.679928,0.754717,0.63,0.346237,1,0.673077,0.634354,0.612583,0.637138,0.645221,0.617162,0.635,0.618893,0.612211,0.637708
Mistral,0.698944,0.666031,0.704202,0.321357,0.673077,1,0.701365,0.686144,0.701365,0.680505,0.690516,0.712121,0.69687,0.688333,0.685558
DeepSeek-V3.1,0.795918,0.645051,0.832504,0.309565,0.634354,0.701365,1,0.816832,0.819398,0.738095,0.805873,0.825371,0.834697,0.827815,0.734589
DeepSeek-R1,0.775748,0.593801,0.835796,0.293919,0.612583,0.686144,0.816832,1,0.819835,0.705107,0.82708,0.831699,0.831987,0.825163,0.733108
DeepSeek-V4-Pro,0.795918,0.639456,0.808511,0.314136,0.637138,0.701365,0.819398,0.819835,1,0.741056,0.811784,0.813421,0.808065,0.803922,0.719864
QwenCoder,0.742958,0.635701,0.746218,0.316092,0.645221,0.680505,0.738095,0.705107,0.741056,1,0.717822,0.708197,0.721044,0.715702,0.685053
Qwen3.7,0.773927,0.611475,0.827642,0.310696,0.617162,0.690516,0.805873,0.82708,0.811784,0.717822,1,0.823625,0.850649,0.844007,0.714286
Claude-5,0.781457,0.626446,0.829268,0.312394,0.635,0.712121,0.825371,0.831699,0.813421,0.708197,0.823625,1,0.843296,0.833605,0.721667
GLM-5,0.785246,0.618506,0.86252,0.303483,0.618893,0.69687,0.834697,0.831987,0.808065,0.721044,0.850649,0.843296,1,0.873147,0.723229
Kimi-K2.7,0.768977,0.601307,0.840722,0.307823,0.612211,0.688333,0.827815,0.825163,0.803922,0.715702,0.844007,0.833605,0.873147,1,0.720736
GPT-5,0.727113,0.622263,0.742809,0.32681,0.637708,0.685558,0.734589,0.733108,0.719864,0.685053,0.714286,0.721667,0.723229,0.720736,1
