model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.758974,0.849835,0.436762,0.759259,0.831615,0.854063,0.817152,0.844884,0.847315,0.830894,0.829787,0.837359,0.842788,0.810316
GPT-3.5,0.758974,1,0.691057,0.430427,0.759124,0.719023,0.731219,0.664537,0.725458,0.740614,0.696429,0.711221,0.706924,0.697749,0.70678
O4-mini,0.849835,0.691057,1,0.431177,0.714286,0.816189,0.85082,0.843902,0.859967,0.838017,0.851792,0.841762,0.873171,0.888158,0.828619
Gemini,0.436762,0.430427,0.431177,1,0.444037,0.430088,0.450253,0.434494,0.440536,0.436116,0.434711,0.435726,0.447541,0.431596,0.443478
Llama-70B,0.759259,0.759124,0.714286,0.444037,1,0.74087,0.737624,0.698234,0.729064,0.761905,0.736498,0.72623,0.732689,0.726248,0.736842
Mistral,0.831615,0.719023,0.816189,0.430088,0.74087,1,0.798995,0.774671,0.802013,0.825561,0.809365,0.805042,0.792484,0.797697,0.803109
DeepSeek-V3.1,0.854063,0.731219,0.85082,0.450253,0.737624,0.798995,1,0.830097,0.886097,0.836093,0.849918,0.855025,0.859223,0.864821,0.820598
DeepSeek-R1,0.817152,0.664537,0.843902,0.434494,0.698234,0.774671,0.830097,1,0.833063,0.790997,0.852033,0.839024,0.867314,0.872964,0.787338
DeepSeek-V4-Pro,0.844884,0.725458,0.859967,0.440536,0.729064,0.802013,0.886097,0.833063,1,0.842193,0.831987,0.851974,0.868293,0.870915,0.805601
QwenCoder,0.847315,0.740614,0.838017,0.436116,0.761905,0.825561,0.836093,0.790997,0.842193,1,0.81626,0.818033,0.817014,0.822294,0.822635
Qwen3.7,0.830894,0.696429,0.851792,0.434711,0.736498,0.809365,0.849918,0.852033,0.831987,0.81626,1,0.865132,0.869144,0.871753,0.812808
Claude-5,0.829787,0.711221,0.841762,0.435726,0.72623,0.805042,0.855025,0.839024,0.851974,0.818033,0.865132,1,0.871336,0.867863,0.81157
GLM-5,0.837359,0.706924,0.873171,0.447541,0.732689,0.792484,0.859223,0.867314,0.868293,0.817014,0.869144,0.871336,1,0.90228,0.825449
Kimi-K2.7,0.842788,0.697749,0.888158,0.431596,0.726248,0.797697,0.864821,0.872964,0.870915,0.822294,0.871753,0.867863,0.90228,1,0.833882
GPT-5,0.810316,0.70678,0.828619,0.443478,0.736842,0.803109,0.820598,0.787338,0.805601,0.822635,0.812808,0.81157,0.825449,0.833882,1
