model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,25.8523,24.7159,55.5398,34.517,21.1648,20.0284,24.2898,22.1591,21.4489,26.2784,23.5795,26.2784,26.4205,23.1534
GPT-3.5,25.8523,0,37.5,43.608,22.8693,23.4375,33.9489,40.767,36.6477,24.858,39.0625,37.5,41.3352,42.0455,25.142
O4-mini,24.7159,37.5,0,62.642,46.4489,31.9602,17.4716,14.3466,16.4773,32.8125,16.0511,16.7614,14.6307,14.4886,31.108
Gemini,55.5398,43.608,62.642,0,37.2159,49.7159,60.2273,63.6364,60.6534,50.2841,62.7841,63.2102,66.7614,65.483,50.2841
Llama-70B,34.517,22.8693,46.4489,37.2159,0,28.125,40.9091,46.5909,41.9034,28.125,45.1705,45.0284,49.1477,48.4375,30.1136
Mistral,21.1648,23.4375,31.9602,49.7159,28.125,0,26.4205,32.1023,27.4148,23.2955,32.6705,29.9716,34.6591,35.6534,25
DeepSeek-V3.1,20.0284,33.9489,17.4716,60.2273,40.9091,26.4205,0,16.7614,15.767,28.6932,19.3182,17.4716,17.6136,19.1761,27.8409
DeepSeek-R1,24.2898,40.767,14.3466,63.6364,46.5909,32.1023,16.7614,0,16.6193,34.6591,13.0682,15.1989,13.3523,14.6307,30.9659
DeepSeek-V4-Pro,22.1591,36.6477,16.4773,60.6534,41.9034,27.4148,15.767,16.6193,0,30.5398,19.4602,15.3409,18.0398,18.1818,29.1193
QwenCoder,21.4489,24.858,32.8125,50.2841,28.125,23.2955,28.6932,34.6591,30.5398,0,34.6591,33.6648,34.0909,35.3693,25.2841
Qwen3.7,26.2784,39.0625,16.0511,62.7841,45.1705,32.6705,19.3182,13.0682,19.4602,34.6591,0,15.767,14.7727,14.0625,32.1023
Claude-5,23.5795,37.5,16.7614,63.2102,45.0284,29.9716,17.4716,15.1989,15.3409,33.6648,15.767,0,15.1989,15.625,29.4034
GLM-5,26.2784,41.3352,14.6307,66.7614,49.1477,34.6591,17.6136,13.3523,18.0398,34.0909,14.7727,15.1989,0,12.9261,33.2386
Kimi-K2.7,26.4205,42.0455,14.4886,65.483,48.4375,35.6534,19.1761,14.6307,18.1818,35.3693,14.0625,15.625,12.9261,0,33.6648
GPT-5,23.1534,25.142,31.108,50.2841,30.1136,25,27.8409,30.9659,29.1193,25.2841,32.1023,29.4034,33.2386,33.6648,0
