model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,47.7876,48.3776,80.236,57.2271,49.2625,51.3274,70.7965,80.236,69.9115,55.4572,78.4661,74.6313,85.2507,82.5959,52.5074
GPT-3.5,48.3776,15.3392,74.0413,31.5634,22.1239,31.8584,61.9469,73.4513,62.8319,39.823,73.1563,66.9617,82.3009,77.8761,34.8083
O4-mini,80.236,74.0413,73.4513,75.8112,74.3363,75.8112,82.0059,82.5959,81.1209,78.7611,82.5959,83.1858,85.5457,83.1858,75.8112
Gemini,57.2271,31.5634,75.8112,19.469,29.4985,41.5929,66.9617,75.2212,66.9617,49.5575,75.8112,70.5015,83.7758,79.351,41.8879
Llama-70B,49.2625,22.1239,74.3363,29.4985,14.7493,32.1534,62.8319,73.1563,63.4218,40.708,73.1563,67.2566,82.3009,78.4661,33.3333
Mistral,51.3274,31.8584,75.8112,41.5929,32.1534,28.9086,64.0118,73.4513,64.8968,43.9528,75.5162,69.0265,83.4808,78.4661,38.9381
DeepSeek-V3.1,70.7965,61.9469,82.0059,66.9617,62.8319,64.0118,61.0619,77.2861,72.8614,67.5516,79.351,75.5162,84.6608,82.3009,64.0118
DeepSeek-R1,80.236,73.4513,82.5959,75.2212,73.1563,73.4513,77.2861,71.6814,78.7611,76.9912,83.1858,82.0059,84.9558,83.7758,74.3363
DeepSeek-V4-Pro,69.9115,62.8319,81.1209,66.9617,63.4218,64.8968,72.8614,78.7611,61.6519,68.4366,79.941,78.4661,85.8407,83.4808,64.0118
QwenCoder,55.4572,39.823,78.7611,49.5575,40.708,43.9528,67.5516,76.9912,68.4366,38.3481,76.6962,71.9764,85.2507,82.3009,46.3127
Qwen3.7,78.4661,73.1563,82.5959,75.8112,73.1563,75.5162,79.351,83.1858,79.941,76.6962,72.2714,82.0059,84.9558,84.0708,75.5162
Claude-5,74.6313,66.9617,83.1858,70.5015,67.2566,69.0265,75.5162,82.0059,78.4661,71.9764,82.0059,66.0767,86.1357,85.2507,71.0914
GLM-5,85.2507,82.3009,85.5457,83.7758,82.3009,83.4808,84.6608,84.9558,85.8407,85.2507,84.9558,86.1357,81.7109,86.7257,83.1858
Kimi-K2.7,82.5959,77.8761,83.1858,79.351,78.4661,78.4661,82.3009,83.7758,83.4808,82.3009,84.0708,85.2507,86.7257,77.5811,79.056
GPT-5,52.5074,34.8083,75.8112,41.8879,33.3333,38.9381,64.0118,74.3363,64.0118,46.3127,75.5162,71.0914,83.1858,79.056,30.0885
