model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.63745,0.71,0.225743,0.515936,0.708984,0.753065,0.715474,0.73057,0.706226,0.696721,0.723333,0.700162,0.696078,0.68714
GPT-3.5,0.63745,1,0.54717,0.234414,0.596491,0.639738,0.571685,0.519263,0.545775,0.622845,0.536256,0.550256,0.521382,0.510744,0.620172
O4-mini,0.71,0.54717,1,0.226316,0.440068,0.618644,0.795681,0.833333,0.806344,0.611111,0.815961,0.808442,0.832792,0.832787,0.628183
Gemini,0.225743,0.234414,0.226316,1,0.247126,0.22049,0.227687,0.222222,0.225045,0.216814,0.231304,0.227431,0.211409,0.213311,0.218543
Llama-70B,0.515936,0.596491,0.440068,0.247126,1,0.554054,0.478261,0.441227,0.469424,0.555056,0.455479,0.456261,0.428099,0.428811,0.532009
Mistral,0.708984,0.639738,0.618644,0.22049,0.554054,1,0.666667,0.618887,0.656584,0.661856,0.61474,0.640545,0.600655,0.587849,0.642276
DeepSeek-V3.1,0.753065,0.571685,0.795681,0.227687,0.478261,0.666667,1,0.803987,0.809932,0.643739,0.77814,0.79703,0.798046,0.78013,0.653097
DeepSeek-R1,0.715474,0.519263,0.833333,0.222222,0.441227,0.618887,0.803987,1,0.805648,0.595357,0.848185,0.825449,0.846906,0.831974,0.631134
DeepSeek-V4-Pro,0.73057,0.545775,0.806344,0.225045,0.469424,0.656584,0.809932,0.805648,1,0.625436,0.776873,0.819699,0.793831,0.790507,0.640351
QwenCoder,0.706226,0.622845,0.611111,0.216814,0.555056,0.661856,0.643739,0.595357,0.625436,1,0.596694,0.605657,0.606557,0.591133,0.639676
Qwen3.7,0.696721,0.536256,0.815961,0.231304,0.455479,0.61474,0.77814,0.848185,0.776873,0.596694,1,0.820097,0.832528,0.838499,0.621441
Claude-5,0.723333,0.550256,0.808442,0.227431,0.456261,0.640545,0.79703,0.825449,0.819699,0.605657,0.820097,1,0.827974,0.822006,0.647359
GLM-5,0.700162,0.521382,0.832792,0.211409,0.428099,0.600655,0.798046,0.846906,0.793831,0.606557,0.832528,0.827974,1,0.852273,0.615132
Kimi-K2.7,0.696078,0.510744,0.832787,0.213311,0.428811,0.587849,0.78013,0.831974,0.790507,0.591133,0.838499,0.822006,0.852273,1,0.607616
GPT-5,0.68714,0.620172,0.628183,0.218543,0.532009,0.642276,0.653097,0.631134,0.640351,0.639676,0.621441,0.647359,0.615132,0.607616,1
