rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Llama-70B,GLM-5,llama70b,glm5,704,89.3466,62.9261,6.2500,20.1705,69.1761,83.0966,443,44,142
2,QwenCoder,GLM-5,qwencoder32b,glm5,704,89.2045,72.8693,6.1080,10.2273,78.9773,83.0966,513,43,72
3,QwenCoder,Kimi-K2.7,qwencoder32b,kimi_k25,704,89.2045,73.0114,5.9659,10.2273,78.9773,83.2386,514,42,72
4,DeepSeek-R1,QwenCoder,deepseek_r1,qwencoder32b,704,88.9205,69.7443,9.9432,9.2330,79.6875,78.9773,491,70,65
5,GPT-3.5,GLM-5,gpt35,glm5,704,88.6364,62.0739,5.5398,21.0227,67.6136,83.0966,437,39,148
6,GPT-3.5,Kimi-K2.7,gpt35,kimi_k25,704,88.6364,62.2159,5.3977,21.0227,67.6136,83.2386,438,38,148
7,Llama-70B,Kimi-K2.7,llama70b,kimi_k25,704,88.4943,63.9205,5.2557,19.3182,69.1761,83.2386,450,37,136
8,GLM-5,Kimi-K2.7,glm5,kimi_k25,704,88.4943,77.8409,5.2557,5.3977,83.0966,83.2386,548,37,38
9,Llama-70B,DeepSeek-R1,llama70b,deepseek_r1,704,88.3523,60.5114,8.6648,19.1761,69.1761,79.6875,426,61,135
10,QwenCoder,Qwen3.7,qwencoder32b,qwen37_plus,704,88.3523,71.3068,7.6705,9.3750,78.9773,80.6818,502,54,66
11,GPT-4o,GLM-5,gpt4o,glm5,704,88.2102,73.0114,5.1136,10.0852,78.1250,83.0966,514,36,71
12,Claude-5,GLM-5,claude_sonnet_5,glm5,704,88.0682,76.7045,4.9716,6.3920,81.6761,83.0966,540,35,45
13,GPT-4o,Kimi-K2.7,gpt4o,kimi_k25,704,87.9261,73.4375,4.6875,9.8011,78.1250,83.2386,517,33,69
