model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,67.1875,71.3068,85.2273,71.733,71.3068,72.7273,81.108,85.3693,82.2443,73.0114,86.6477,85.2273,87.642,86.9318,74.0057
GPT-3.5,71.3068,49.5739,82.8125,56.9602,56.6761,65.0568,79.2614,84.8011,80.6818,65.9091,84.233,83.3807,86.3636,85.9375,66.1932
O4-mini,85.2273,82.8125,78.5511,80.9659,82.9545,83.8068,85.5114,86.0795,85.0852,84.375,87.2159,87.5,87.5,86.6477,83.6648
Gemini,71.733,56.9602,80.9659,20.7386,49.4318,63.7784,77.983,81.8182,78.267,64.2045,81.6761,81.8182,84.6591,83.2386,64.3466
Llama-70B,71.3068,56.6761,82.9545,49.4318,40.9091,63.0682,78.4091,83.3807,78.9773,63.2102,82.9545,82.8125,85.9375,84.8011,64.3466
Mistral,72.7273,65.0568,83.8068,63.7784,63.0682,57.1023,79.2614,84.233,79.8295,68.892,84.8011,83.3807,86.7898,86.5057,69.8864
DeepSeek-V3.1,81.108,79.2614,85.5114,77.983,78.4091,79.2614,75,85.5114,82.9545,80.5398,87.0739,86.0795,87.2159,87.2159,80.2557
DeepSeek-R1,85.3693,84.8011,86.0795,81.8182,83.3807,84.233,85.5114,79.2614,85.5114,85.6534,86.0795,87.0739,87.2159,87.0739,83.9489
DeepSeek-V4-Pro,82.2443,80.6818,85.0852,78.267,78.9773,79.8295,82.9545,85.5114,75.142,81.5341,87.2159,85.0852,87.5,86.7898,80.9659
QwenCoder,73.0114,65.9091,84.375,64.2045,63.2102,68.892,80.5398,85.6534,81.5341,57.3864,85.9375,85.3693,86.6477,86.5057,70.1705
Qwen3.7,86.6477,84.233,87.2159,81.6761,82.9545,84.8011,87.0739,86.0795,87.2159,85.9375,79.8295,87.642,88.2102,87.0739,84.8011
Claude-5,85.2273,83.3807,87.5,81.8182,82.8125,83.3807,86.0795,87.0739,85.0852,85.3693,87.642,79.6875,88.3523,87.7841,83.3807
GLM-5,87.642,86.3636,87.5,84.6591,85.9375,86.7898,87.2159,87.2159,87.5,86.6477,88.2102,88.3523,81.8182,87.5,86.3636
Kimi-K2.7,86.9318,85.9375,86.6477,83.2386,84.8011,86.5057,87.2159,87.0739,86.7898,86.5057,87.0739,87.7841,87.5,80.2557,85.7955
GPT-5,74.0057,66.1932,83.6648,64.3466,64.3466,69.8864,80.2557,83.9489,80.9659,70.1705,84.8011,83.3807,86.3636,85.7955,57.6705
