rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Claude-5,GLM-5,claude_sonnet_5,glm5,704,88.3523,73.1534,6.5341,8.6648,79.6875,81.8182,515,46,61
2,Qwen3.7,GLM-5,qwen37_plus,glm5,704,88.2102,73.4375,6.3920,8.3807,79.8295,81.8182,517,45,59
3,Claude-5,Kimi-K2.7,claude_sonnet_5,kimi_k25,704,87.7841,72.1591,7.5284,8.0966,79.6875,80.2557,508,53,57
4,GPT-4o,GLM-5,gpt4o,glm5,704,87.6420,61.3636,5.8239,20.4545,67.1875,81.8182,432,41,144
5,Qwen3.7,Claude-5,qwen37_plus,claude_sonnet_5,704,87.6420,71.8750,7.9545,7.8125,79.8295,79.6875,506,56,55
6,O4-mini,Claude-5,o4mini,claude_sonnet_5,704,87.5000,70.7386,7.8125,8.9489,78.5511,79.6875,498,55,63
7,O4-mini,GLM-5,o4mini,glm5,704,87.5000,72.8693,5.6818,8.9489,78.5511,81.8182,513,40,63
8,DeepSeek-V4-Pro,GLM-5,deepseek_v4_pro,glm5,704,87.5000,69.4602,5.6818,12.3580,75.1420,81.8182,489,40,87
9,GLM-5,Kimi-K2.7,glm5,kimi_k25,704,87.5000,74.5739,7.2443,5.6818,81.8182,80.2557,525,51,40
10,O4-mini,Qwen3.7,o4mini,qwen37_plus,704,87.2159,71.1648,7.3864,8.6648,78.5511,79.8295,501,52,61
11,DeepSeek-V3.1,GLM-5,deepseek_v31,glm5,704,87.2159,69.6023,5.3977,12.2159,75.0000,81.8182,490,38,86
12,DeepSeek-V3.1,Kimi-K2.7,deepseek_v31,kimi_k25,704,87.2159,68.0398,6.9602,12.2159,75.0000,80.2557,479,49,86
13,DeepSeek-R1,GLM-5,deepseek_r1,glm5,704,87.2159,73.8636,5.3977,7.9545,79.2614,81.8182,520,38,56
