rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,GLM-5,Kimi-K2.7,glm5,kimi_k25,339,86.7257,72.5664,9.1445,5.0147,81.7109,77.5811,246,31,17
2,Claude-5,GLM-5,claude_sonnet_5,glm5,339,86.1357,61.6519,4.4248,20.0590,66.0767,81.7109,209,15,68
3,DeepSeek-V4-Pro,GLM-5,deepseek_v4_pro,glm5,339,85.8407,57.5221,4.1298,24.1888,61.6519,81.7109,195,14,82
4,O4-mini,GLM-5,o4mini,glm5,339,85.5457,69.6165,3.8348,12.0944,73.4513,81.7109,236,13,41
5,GPT-4o,GLM-5,gpt4o,glm5,339,85.2507,44.2478,3.5398,37.4631,47.7876,81.7109,150,12,127
6,QwenCoder,GLM-5,qwencoder32b,glm5,339,85.2507,34.8083,3.5398,46.9027,38.3481,81.7109,118,12,159
7,Claude-5,Kimi-K2.7,claude_sonnet_5,kimi_k25,339,85.2507,58.4071,7.6696,19.1740,66.0767,77.5811,198,26,65
8,DeepSeek-R1,GLM-5,deepseek_r1,glm5,339,84.9558,68.4366,3.2448,13.2743,71.6814,81.7109,232,11,45
9,Qwen3.7,GLM-5,qwen37_plus,glm5,339,84.9558,69.0265,3.2448,12.6844,72.2714,81.7109,234,11,43
10,DeepSeek-V3.1,GLM-5,deepseek_v31,glm5,339,84.6608,58.1121,2.9499,23.5988,61.0619,81.7109,197,10,80
11,Qwen3.7,Kimi-K2.7,qwen37_plus,kimi_k25,339,84.0708,65.7817,6.4897,11.7994,72.2714,77.5811,223,22,40
12,Gemini,GLM-5,gemini,glm5,339,83.7758,17.4041,2.0649,64.3068,19.4690,81.7109,59,7,218
13,DeepSeek-R1,Kimi-K2.7,deepseek_r1,kimi_k25,339,83.7758,65.4867,6.1947,12.0944,71.6814,77.5811,222,21,41
