model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,78.125,82.3864,86.5057,82.3864,83.8068,84.233,86.2216,87.358,85.6534,85.0852,87.2159,87.0739,88.2102,87.9261,85.5114
GPT-3.5,82.3864,67.6136,86.9318,74.858,77.983,82.3864,85.5114,87.642,85.0852,83.8068,87.358,87.5,88.6364,88.6364,84.9432
O4-mini,86.5057,86.9318,81.8182,85.3693,87.5,85.3693,86.6477,86.9318,86.3636,87.7841,87.5,86.9318,87.358,87.0739,86.7898
Gemini,82.3864,74.858,85.3693,38.9205,76.2784,79.4034,84.233,84.6591,84.0909,83.9489,85.3693,85.3693,87.0739,86.5057,83.2386
Llama-70B,83.8068,77.983,87.5,76.2784,69.1761,81.392,85.0852,88.3523,86.3636,83.6648,87.2159,87.0739,89.3466,88.4943,84.375
Mistral,84.233,82.3864,85.3693,79.4034,81.392,74.0057,83.8068,86.2216,84.6591,84.375,85.9375,85.9375,87.2159,86.6477,84.233
DeepSeek-V3.1,86.2216,85.5114,86.6477,84.233,85.0852,83.8068,79.5455,87.5,85.6534,86.0795,86.6477,87.0739,87.642,87.642,85.9375
DeepSeek-R1,87.358,87.642,86.9318,84.6591,88.3523,86.2216,87.5,79.6875,85.9375,88.9205,87.0739,87.642,87.642,87.642,87.2159
DeepSeek-V4-Pro,85.6534,85.0852,86.3636,84.0909,86.3636,84.6591,85.6534,85.9375,79.5455,86.7898,86.5057,86.5057,87.9261,87.0739,86.7898
QwenCoder,85.0852,83.8068,87.7841,83.9489,83.6648,84.375,86.0795,88.9205,86.7898,78.9773,88.3523,87.9261,89.2045,89.2045,86.6477
Qwen3.7,87.2159,87.358,87.5,85.3693,87.2159,85.9375,86.6477,87.0739,86.5057,88.3523,80.6818,87.358,87.2159,86.7898,87.5
Claude-5,87.0739,87.5,86.9318,85.3693,87.0739,85.9375,87.0739,87.642,86.5057,87.9261,87.358,81.6761,88.0682,87.5,87.0739
GLM-5,88.2102,88.6364,87.358,87.0739,89.3466,87.2159,87.642,87.642,87.9261,89.2045,87.2159,88.0682,83.0966,88.4943,87.9261
Kimi-K2.7,87.9261,88.6364,87.0739,86.5057,88.4943,86.6477,87.642,87.642,87.0739,89.2045,86.7898,87.5,88.4943,83.2386,87.5
GPT-5,85.5114,84.9432,86.7898,83.2386,84.375,84.233,85.9375,87.2159,86.7898,86.6477,87.5,87.0739,87.9261,87.5,78.5511
